3.0624 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
3.0627 	INFO 	Loaded monitor calibration from ['2024_07_15 15:58']
3.1544 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023615732B50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023615732AF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023615732940>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023615EEAE50>, multiSample=False, name='window1', numSamples=2, pos=[1520.0, 780.0], screen=1, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.1544 	EXP 	window1: backgroundImage = ''
3.1544 	EXP 	window1: backgroundFit = 'none'
3.1545 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023615732C70>
3.1546 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023615732C70>
3.1557 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023615732C70>
3.1560 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023615732C70>
3.1586 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1593 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1600 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1607 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1615 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1620 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1626 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1634 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1638 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1642 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1649 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1655 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.1661 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
